Feature Set,Features Used,Train Rows,Val Rows,Best Nu,AUROC,Silhouette,Selected
F1_only,"vehicle_count, roi_occupancy",61221,8990,0.05,0.4724,-0.0022,
F2_only,"vel_px_sec, vel_px_sec_smooth",61221,8990,0.01,0.9935,0.9431,✓
F2_F3,"vel_px_sec, vel_px_sec_smooth, inter_vehicle_dist_norm, dwell_time_sec, proximity_count_rolling",61221,8990,0.01,0.641,0.471,
all_features,"vehicle_count, roi_occupancy, vel_px_sec, vel_px_sec_smooth, inter_vehicle_dist_norm, dwell_time_sec, proximity_count_rolling",61221,8990,0.01,0.7312,0.3677,
