Method,Event_Type,Events_Total,Events_Evaluable,Events_Detected,Event_Recall,Skipped_Events,Mean_Anomalous_Ratio,FAR,Precision,F1,Notes
Rule-Based (Z-score),anomaly,10,10,10,1.0,0,0.0577,,,,positive-only benchmark; FAR/Precision/F1 deferred: no normal clips evaluated in Day 14
Rule-Based (IQR),anomaly,10,10,10,1.0,0,0.0674,,,,positive-only benchmark; FAR/Precision/F1 deferred: no normal clips evaluated in Day 14
OC-SVM,anomaly,10,10,10,1.0,0,0.0316,,,,positive-only benchmark; FAR/Precision/F1 deferred: no normal clips evaluated in Day 14
Isolation Forest,anomaly,10,10,10,1.0,0,0.3406,,,,positive-only benchmark; FAR/Precision/F1 deferred: no normal clips evaluated in Day 14
